diagram,gate_index,qubits,theta,phi,lambda
"[3, 2, 2, 1, 1, 1]",1,[1],2.6806054661980054,3.141592667038057,1.6215795373142328e-09
"[3, 2, 2, 1, 1, 1]",3,[0],1.388331789447282,-3.141592624289722,-3.1415926535897936
"[3, 2, 2, 1, 1, 1]",4,[1],1.9885612506383568,-3.1415926594436208,-1.4428294337065495e-08
"[3, 2, 2, 1, 1, 1]",6,[0],2.7646604004593103,3.173681526254292e-08,-3.308722450212111e-24
"[3, 2, 2, 1, 1, 1]",7,[1],0.5950291698922061,-2.3218347910969328e-08,-3.141592625552785
"[3, 2, 1, 1, 1, 1, 1]",0,[0],2.3185566228347976,3.1415926503662845,3.14159264789562
"[3, 2, 1, 1, 1, 1, 1]",1,[1],2.67060952943882,-6.283185300149093,1.9155694808148382e-09
"[3, 2, 1, 1, 1, 1, 1]",3,[0],1.9464106049806056,-1.3211112204203346e-08,3.141592653589793
"[3, 2, 1, 1, 1, 1, 1]",4,[1],1.0823343514909463,4.2472643180246905e-09,6.283185298128764
"[3, 2, 1, 1, 1, 1, 1]",6,[0],0.3667488351708512,3.141592668248565,0.0
"[3, 2, 1, 1, 1, 1, 1]",7,[1],0.6064423842184896,-1.4295306100584408e-08,1.739763774725492e-08
"[8, 2, 1]",0,[0],0.7444999966511449,-2.487037895828255e-09,2.1986907621088184e-09
"[8, 2, 1]",1,[1],0.4405850809972673,-9.283271928950398e-10,-3.141592652266021
"[8, 2, 1]",3,[0],2.0224458398206626,-3.141592653312544,3.141592653589793
"[8, 2, 1]",4,[1],1.0917492844054935,-3.1415926540323422,9.601142103576876e-10
"[8, 2, 1]",6,[0],2.7460154894145727,3.1415926543309136,0.0
"[8, 2, 1]",7,[1],2.36109833849626,-3.141592651985234,-3.14159265133165
"[7, 3, 1]",0,[0],2.5565629541878296,-4.78000972137238e-10,3.1415926534635368
"[7, 3, 1]",1,[1],0.2385488980058958,9.402669753910686e-10,3.1415926530754583
"[7, 3, 1]",3,[0],2.0630359513240806,-8.829813345873112e-10,-5.169878828456423e-26
"[7, 3, 1]",4,[1],1.9800186460072293,-3.1415926536071064,-4.3511860781109135e-11
"[7, 3, 1]",6,[0],0.43070059369982694,7.712650518243436e-10,3.141592653589793
"[7, 3, 1]",7,[1],0.8847597575134118,-3.1611329419189194e-11,4.990143089475116e-11
"[7, 2, 1, 1]",0,[0],0.7700824384700147,2.734341997268075e-08,6.283185267434427
"[7, 2, 1, 1]",1,[1],2.5594130390167136,-6.283185286867862,-7.014264724602981e-09
"[7, 2, 1, 1]",3,[0],1.047460859595893,-3.1415925094728725,0.0
"[7, 2, 1, 1]",4,[1],2.0640196207097024,1.7041572203746957e-08,3.599312258379258e-08
"[7, 2, 1, 1]",6,[0],0.1860005507138156,-1.459964918306972e-07,0.0
"[7, 2, 1, 1]",7,[1],0.6841358376334772,-5.3035984048932505e-08,-3.141592585153218
"[6, 4, 1]",0,[0],0.5169294841287264,3.1415926591390306,-5.278314896273173e-09
"[6, 4, 1]",1,[1],0.08885251649602635,3.1415926463111714,-3.1415926469879074
"[6, 4, 1]",3,[0],1.1592073235592666,3.141592655942308,0.0
"[6, 4, 1]",4,[1],1.2024843257812976,-3.1415926529069,3.141592651693084
"[6, 4, 1]",6,[0],0.33224284353042094,-2.885421139008306e-09,2.0679515313825692e-25
"[6, 4, 1]",7,[1],0.9640936574860831,-1.8501953302774155e-09,-3.141592650344757
"[6, 3, 2]",0,[0],0.6790363602521261,3.141592653594807,-5.3017590317949725e-12
"[6, 3, 2]",1,[1],0.2811397885047055,3.141592653587487,-3.1415926535878236
"[6, 3, 2]",3,[0],1.3177100707310634,-6.283185307178089,0.0
"[6, 3, 2]",4,[1],2.1481557148966255,-3.141592653586237,6.515232797710269e-12
"[6, 3, 2]",6,[0],0.4452328510644555,-1.956212969389526e-12,3.141592653589793
"[6, 3, 2]",7,[1],2.255515529795052,3.1415926536056564,-3.1415926535647114
"[6, 3, 1, 1]",0,[0],2.5434887771216106,-6.343991998392084e-11,3.141592653548187
"[6, 3, 1, 1]",1,[1],0.3604769374780775,-3.1415926532412333,3.141592653290194
"[6, 3, 1, 1]",3,[0],2.135789661649578,-4.637668027385189e-11,3.141592653589793
"[6, 3, 1, 1]",4,[1],1.1346628987188303,3.141592653584148,1.336464272583271e-11
"[6, 3, 1, 1]",6,[0],0.19759655558821645,3.6282976623169816e-11,3.141592653589793
"[6, 3, 1, 1]",7,[1],2.3400861754748017,-3.1415926537208234,-1.8836376902697793e-10
"[6, 2, 2, 1]",0,[0],2.210123364561659,3.141592646607295,3.14159264087494
"[6, 2, 2, 1]",1,[1],2.6707233566267905,3.141592670270869,2.1734936073158906e-09
"[6, 2, 2, 1]",3,[0],1.8638221115172624,3.1415927167281716,0.0
"[6, 2, 2, 1]",4,[1],1.1365878577519484,6.685136888506804e-09,3.141592637699
"[6, 2, 2, 1]",6,[0],0.22806597233570938,6.283185242760653,0.0
"[6, 2, 2, 1]",7,[1],0.659015275834987,-2.3418931084181874e-08,2.962188393554998e-08
"[6, 2, 1, 1, 1]",0,[0],0.7813578218456734,1.504835234200641e-08,6.283185286895204
"[6, 2, 1, 1, 1]",1,[1],2.505515922711953,-3.141592644415156,-3.803680259650832e-09
"[6, 2, 1, 1, 1]",3,[0],2.1129521469882575,-2.317883231559286e-07,-1.3234889800848443e-23
"[6, 2, 1, 1, 1]",4,[1],1.0765504154979126,-3.141592663398151,2.0676688139431576e-08
"[6, 2, 1, 1, 1]",6,[0],3.0853641205245763,-3.141592886077303,0.0
"[6, 2, 1, 1, 1]",7,[1],0.6224637404824416,-3.3109774509630784e-08,4.075327706464324e-08
"[5, 4, 2]",0,[0],2.5847144936550484,3.141592653383646,3.1415926533729213
"[5, 4, 2]",1,[1],3.1278802181260406,1.5555512433707008e-10,-6.283185306931925
"[5, 4, 2]",3,[0],1.4856969705379786,-3.1415926533112803,0.0
"[5, 4, 2]",4,[1],2.0185091536305353,-3.141592653647988,3.141592653455365
"[5, 4, 2]",6,[0],2.859498547946619,-3.1415926533533463,-3.1415926535897936
"[5, 4, 2]",7,[1],0.9471879722131838,-1.5885182058639202e-10,3.1415926538618146
